name,ring,quadrant,isNew,description
Oracle,HIGH,DATABASE,FALSE,<p>Oracle</p>
TensorFlow,MID,OTHER FRAMEWORKS,FALSE,<p>TensorFlow</p>
ASP,LOW,WEB FRAMEWORKS,FALSE,<p>ASP</p>
LISP,LOW,LANGUAGE,FALSE,<p>LISP</p>
Neo4j,LOW,DATABASE,FALSE,<p>Neo4j</p>
Couchbase,LOW,DATABASE,FALSE,<p>Couchbase</p>
Blazor,UNUSED,WEB FRAMEWORKS,FALSE,<p>Blazor</p>
Hazelcast,MID,DATABASE,FALSE,<p>Hazelcast</p>
Delphi,LOW,LANGUAGE,FALSE,<p>Delphi</p>
React,HIGH,WEB FRAMEWORKS,FALSE,<p>React</p>
SQLite,LOW,DATABASE,FALSE,<p>SQLite</p>
Dart,UNUSED,LANGUAGE,FALSE,<p>Dart</p>
Groovy,HIGH,LANGUAGE,FALSE,<p>Groovy</p>
Drupal,UNUSED,WEB FRAMEWORKS,FALSE,<p>Drupal</p>
Apache Spark,MID,OTHER FRAMEWORKS,FALSE,<p>Apache Spark</p>
Ruby,LOW,LANGUAGE,FALSE,<p>Ruby</p>
Fortran,UNUSED,LANGUAGE,FALSE,<p>Fortran</p>
Torch/PyTorch,LOW,OTHER FRAMEWORKS,FALSE,<p>Torch/PyTorch</p>
Ionic,LOW,OTHER FRAMEWORKS,FALSE,<p>Ionic</p>
F#,LOW,LANGUAGE,FALSE,<p>F#</p>
CouchDB,LOW,DATABASE,FALSE,<p>CouchDB</p>
Solidity,LOW,LANGUAGE,FALSE,<p>Solidity</p>
Oracle Coherence,UNUSED,DATABASE,FALSE,<p>Oracle Coherence</p>
Julia,UNUSED,LANGUAGE,FALSE,<p>Julia</p>
APL,UNUSED,LANGUAGE,FALSE,<p>APL</p>
DynamoDB,LOW,DATABASE,FALSE,<p>DynamoDB</p>
Rust,HIGH,LANGUAGE,FALSE,<p>Rust</p>
Firebase Realtime Database,LOW,DATABASE,FALSE,<p>Firebase Realtime Database</p>
MariaDB,HIGH,DATABASE,FALSE,<p>MariaDB</p>
TypeScript,HIGH,LANGUAGE,FALSE,<p>TypeScript</p>
Clojure,LOW,LANGUAGE,FALSE,<p>Clojure</p>
Laravel,LOW,WEB FRAMEWORKS,FALSE,<p>Laravel</p>
Ruby on Rails,LOW,WEB FRAMEWORKS,FALSE,<p>Ruby on Rails</p>
JavaScript,HIGH,LANGUAGE,FALSE,<p>JavaScript</p>
Go,HIGH,LANGUAGE,FALSE,<p>Go</p>
