name,ring,quadrant,isNew,description
Windows,HIGH,OPERATING SYSTEMS,FALSE,
macOS,MID,OPERATING SYSTEMS,FALSE,
CLion,LOW,'DEV IDE',FALSE,
Bitbucket,LOW,REVISION CONTROL,FALSE,
Argo,LOW,C\I/C\D T\O\O\L\S,FALSE,
Intellij,HIGH,'DEV IDE',FALSE,
Qt Creator,LOW,'DEV IDE',FALSE,
GitLab,HIGH,REVISION CONTROL,FALSE,
NetBeans,LOW,'DEV IDE',FALSE,
Visual Studio,MID,'DEV IDE',FALSE,
PyCharm,LOW,'DEV IDE',FALSE,
IPython/Jupyter,LOW,'DEV IDE',FALSE,
GitHub,HIGH,REVISION CONTROL,FALSE,
Android Studio,LOW,'DEV IDE',FALSE,
Xcode,LOW,'DEV IDE',FALSE,
Atom,LOW,'DEV IDE',FALSE,
BSD,LOW,OPERATING SYSTEMS,FALSE,
Gitlab,HIGH,C\I/C\D T\O\O\L\S,FALSE,
Nano,LOW,'DEV IDE',FALSE,
Cloud Source Repositories,LOW,REVISION CONTROL,FALSE,
Buildbot,LOW,C\I/C\D T\O\O\L\S,FALSE,
Travis,LOW,C\I/C\D T\O\O\L\S,FALSE,
GoLand,LOW,'DEV IDE',FALSE,
Emacs,LOW,'DEV IDE',FALSE,
Codeship,LOW,C\I/C\D T\O\O\L\S,FALSE,
Linux-based,HIGH,OPERATING SYSTEMS,FALSE,
PhpStorm,LOW,'DEV IDE',FALSE,
Azure Repos,LOW,REVISION CONTROL,FALSE,
Neovim,LOW,'DEV IDE',FALSE,
CircleCI,LOW,C\I/C\D T\O\O\L\S,FALSE,
Jenkins,HIGH,C\I/C\D T\O\O\L\S,FALSE,
Notepad++,HIGH,'DEV IDE',FALSE,
AWS CodeCommit,UNUSED,REVISION CONTROL,FALSE,
Bamboo,UNUSED,C\I/C\D T\O\O\L\S,FALSE,
Eclipse,MID,'DEV IDE',FALSE,
